IBGE,NUMERO,UF,MUNICIPIO,CNES,NOME FANTASIA,RAZAO SOCIAL,LOGRADOURO,NUMERO_1,BAIRRO,CEP,LATITUDE,LONGITUDE
355030,27,SP,SAO PAULO,5018234,CONS MEDICO UBIRATAN MENDONCA,DR UBIRATAN MENDONCA JR CIRURGIA GASTRO E PROTOCTOLOGIA LTDA,M,RUA CINCINATO BRAGA,59,BELA VISTA,,
354910,28,SP,SAO JOAO DA BOA VISTA,5019133,FERNANDO ESTEVES ROCHA SAO JOAO DA BOA VISTA,FERNANDO ESTEVES ROCHA,RUA HENRIQUE CABRAL DE VASCONCELOS,1458,JD SAO NICOLAU,13876100,,
354910,29,SP,SAO JOAO DA BOA VISTA,5019176,JOAO MARCOS PEREIRA SAO JOAO DA BOA VISTA,JOAO MARCOS PEREIRA,AV DONA GERTRUDES,64,CENTRO,13870110,,
354910,30,SP,SAO JOAO DA BOA VISTA,5019184,JOSE WILSON GADELHA DE OLIVEIRA SAO JOAO DA BOA VISTA,JOSE WILSON GADELHA DE OLIVEIRA,RUA BENEDITO ARAUJO,476,CENTRO,13870090,,
354910,31,SP,SAO JOAO DA BOA VISTA,5019192,KARLA MARIA MAGALHAES TEIXEIRA SAVOI SAO JOAO DA BOA VISTA,KARLA MARIA MAGALHAES TEIXEIRA SAVOI,AV DURVAL NICOLAU,1307,JD RECANTO DO BOSQUE,13874422,,
354910,32,SP,SAO JOAO DA BOA VISTA,5019214,LUCIO DOVAL SAO JOAO DA BOA VISTA,LUCIO DOVAL,RUA 14 DE JULHO,1097,VILA CONRADO,13870742,40833736,-7388881
354850,33,SP,SANTOS,5019656,RAFAELA SAPAG DAGUAR,RAFAELA SAPAG DAGUAR,RUA AZEVEDO SODRE,121,GONZAGA,11055051,,
352430,34,SP,JABOTICABAL,5019699,ALOISIO TITO ROSA EIRELI EPP,ALOISIO TITO ROSA EIRELI EPP,,M,R DOUTOR MARIO DE CAMPOS,601,,
350610,35,SP,BEBEDOURO,5019885,PAPS PEDIATRAS,PAPS PEDIATRAS ASSOCIADOS LTDA,,M,AVENIDA RAUL FURQUIM,623,,
351110,36,SP,CATANDUVA,5019974,CLINICA SAO GABRIEL S C LTDA CATANDUVA,CLINICA SAO GABRIEL S C LTDA,,M,RUA TREZE DE MAIO,12691,,
352410,37,SP,ITUVERAVA,5020166,PSF JOSE YAMADA VILA SAO JORGE,PREFEITURA MUNICIPAL DE ITUVERAVA,M,ANDRE GOMES DO NASCIMENTO,1195,PARQUE DOS ESPORTES,,
354850,38,SP,SANTOS,5020301,CLIOS CLINICA OFTALMOLOGICA S S LTDA EPP,CLIOS CLINICA OFTALMOLOGICA S S LTDA EPP,M,RUA FIRMINO BARBOSA,155,BOQUEIRAO,,
355240,39,SP,SUMARE,5020565,CAPS II ORQUIDEA SUMARE,PREFEITURA MUNICIPAL DE SUMARE,M,RUA PADRE MIGUEL GUILHERME,235,CHACARA BELA VISTA,,
351040,40,SP,CAPIVARI,5020700,HELIO UTIMURA CAPIVARI,HELIO UTIMURA,RUA GENERAL OSORIO,35,CENTRO,13360000,,
351040,41,SP,CAPIVARI,5020719,SHEILA F PETINARI CAPIVARI,SHEILA F PETINARI,RUA GENERAL OSORIO,35,CENTRO,13360000,,
354390,42,SP,RIO CLARO,5020840,CLINICA BRANCO PSICOLOGIA,LUIZ GUSTAVO RODRIGUES BRANCO,RUA 4,685,CENTRO,13500030,,
351640,43,SP,FRANCO DA ROCHA,5021049,CIMF DIAGNOSTICO POR IMAGEM,CIMF RADIODIAGNOSTICO LTDA ME,,M,RUA CEL DOMINGOS ORTIZ,108,4066919,-738857
354850,44,SP,SANTOS,5021189,PAULO ROBERTO BARBOSA MARASCA,PAULO ROBERTO BARBOSA MARASCA,AVENIDA DOUTOR EPITACIO PESSOA,686,PONTA DA PRAIA,11030602,,
352670,45,SP,LEME,5021359,RITA DE CASSIA TIBURCIO FELIZATTI LEME,RITA DE CASSIA TIBURCIO FELIZATTI,RUA JOAQUIM MOURAO,814,CENTRO,13610050,,
350400,46,SP,ASSIS,5022169,CLINICA DE FISIOTERAPIA,ELIANA GENOVESE VICENTE PEREZ ME,,M,ROBERTO CASTELA,273,4073283,-7397415
352710,47,SP,LINS,5022207,CLINICA DE FISIOTERAPIA BEM ESTAR DE LINS,CLINICA DE FISIOTERAPIA BEM ESTAR DE LINS LTDA,M,RUA PEDRO DE TOLEDO,603,CENTRO,,
350330,48,SP,ARARAS,5022460,ICA INSTITUTO DO CORACAO DE ARARAS,I C A INSTITUTO DO CORACAO DE ARARAS S S,M,RUA AMERICA,137,CENTRO,,
355710,49,SP,VOTUPORANGA,5022592,CONS DE PSICOLOGIA KAMYLA MYCHELLI T SEBA VOTUPORANGA,KAMYLA MYCHELLI TORRES SEBA,RUA PERNAMBUCO,3880,PATRIMONIO VELHO,15500006,,
355030,50,SP,SAO PAULO,5022738,CLINICA DERMATOLOGICA NILTON DI CHIACCHIO,CLINICA DERMATOLOGICA NILTON DI CHIACCHIO SC LTDA,,M,RUA DR CESAR,62,40830048,-7390632
350530,51,SP,BARRA BONITA,5022800,CONSULTORIO MEDICO JOARA DE C PERACOLI IAIA BARRA BONITA,JOARA DE CASSIA PERACOLI IAIA,RUA RIO BRANCO,333,CENTRO,17340000,,
350760,52,SP,BRAGANCA PAULISTA,5022843,ADRIANO FRANCO DE OLIVEIRA,ADRIANO FRANCO DE OLIVEIRA,RUA CEL JOAO LEME,304,CENTRO,12900161,40792263,-7379332
354770,53,SP,SANTO ANASTACIO,3909328,CONSULTORIO MEDICO DR SICERLEY CASADO,CONSULTORIO MEDICO DR SICERLEY CASADO,RUA RUI BARBOSA,737,CENTRO,19360000,,
351550,54,SP,FERNANDOPOLIS,3909344,MEDICINA E CIRURGIA SERVICOS MEDICOS LTDA,MEDICINA E CIRURGIA SERVICOS MEDICOS LTDA,,M,AFONSO CAFARO,2010,,
355030,55,SP,SAO PAULO,3909484,CONS MEDICO ALBERTO,CLINICA OFTALMOLOGICA BROOKLIN LTDA,M,RUA JOAQUIM NABUCO,156,BROOKLIN,,
354330,56,SP,RIBEIRAO PIRES,3848361,VIVER COM SAUDE CLINICA MEDICA S C LTDA,VIVER COM SAUDE CLINICA MEDICA S C LTDA,,M,RUA KAETH RICHERS,37,,
352930,57,SP,MATAO,3848434,CLIMED MATAO,CLIMED SERVICOS MEDICOS LTDA,,M,RUA AFONSO MACCAGNAN,937,,
352930,58,SP,MATAO,3848442,LABORATORIO SAO FRANCISCO MATAO,LABORATORIO SAO FRANCISCO ANALISES CLINICAS LTDA,,M,RUA SINHARINHA FROTA,969,408264543,-738553285
355030,59,SP,SAO PAULO,3934535,CECCO DE PERUS,PREFEITURA DO MUNICIPIO DE SAO PAULO,M,RUA FIORELLI PECCIACCO,500,PERUS,,
350570,60,SP,BARUERI,3935388,GILBERTO AMBROGINI,GILBERTO AMBROGINI,AVENIDA CAMPOS SALES,303,CENTRO,6411150,,
354100,61,SP,PRAIA GRANDE,3935558,RUY MACHADO LIMA,RUY MACHADO LIMA,AV SAO PAULO,903,GUILHERMINA,11713310,40736732,-7385451
354850,62,SP,SANTOS,3935604,AURORA DIAGNOSTICO EM OUVIDOS NARIZ E GARGANTA LTDA,AURORA DIAGNOSTICO EM OUVIDOS NARIZ E GARGANTA LTDA,,M,AVENIDA DONA ANA COSTA,151,,
354990,63,SP,SAO JOSE DOS CAMPOS,3935892,CECAE,CECAE CENTRO DE CONVIVIO ATEND ESP LTDA,,M,AVENIDA CIDADE JARDIM,1780,,
355410,64,SP,TAUBATE,3936139,DERMATOLOGIA BONATO TAUBATE,MARILEI LOPES BONATO,AV ARMANDO SALLES OLIVEIRA,477,CENTRO,12030080,,
355410,65,SP,TAUBATE,3936147,CONSULTORIO DRA CARLA TAUBATE,CARLA PEROZINI ROSSI DO CARMO,RUA CARLOS RIZZINI,17,CENTRO,12030140,,
355410,66,SP,TAUBATE,3936163,CONSULTORIO ODONT JOSE ROBERTO MONTEIRO TAUBATE,JOSE ROBERTO MONTEIRO,PRACA SANTA TEREZINHA,15,CENTRO,12010130,,
352710,67,SP,LINS,3936171,VIVIANE TAIAR,VIVIANE TAIAR,RUA FLORIANO PEIXOTO,892,CENTRO,16400101,,
352710,68,SP,LINS,3936236,KELY BASTOS YAMAMOTO,KELY BASTOS YAMAMOTO,R WILSON LIMA,410,PASETTO,16403320,,
352710,69,SP,LINS,3936244,JOSE HENRIQUE SOZO,JOSE HENRIQUE SOZO,RUA PRINCESA ISABEL,91,CENTRO,16400225,,
352710,70,SP,LINS,3936260,BEATRIZ KAKAZU SATO,BEATRIZ KAKAZU SATO,RUA 9 DE JULHO,1456,VILA ALTA,16400111,,
354980,71,SP,SAO JOSE DO RIO PRETO,3936279,SERVICO DE ATENDIMENTO MOVEL DE URGENCIA,PREFEITURA MUNICIPAL DE SAO JOSE DO RIO PRETO,M,RUA PEDRO GOES,S/N,VILA ITALIA,,
352710,72,SP,LINS,3936287,ANDREA NOGUEIRA NORONHA MALDONADO,ANDREA NOGUEIRA NORONHA MALDONADO,RUA PEDRO DE TOLEDO,1177,CENTRO,16400106,,
352710,73,SP,LINS,3936317,RENATA MOYA MARTELLI,RENATA MOYA MARTELLI,RUA PEDRO DE TOLEDO,167,CENTRO,16400105,,
352710,74,SP,LINS,3936325,MARIA DONIZETTI DOMINGOS FUMIO,MARIA DONIZETTI DOMINGOS FUMIO,RUA LUIZ GAMA,690,CENTRO,16400080,40875122,-73905174
352710,75,SP,LINS,3936341,TOSHIRO TANJI,TOSHIRO TANJI,RUA DOM BOSCO,23,CENTRO,16400505,,
352710,76,SP,LINS,3936368,DORIANA RATTO GELIS FITTIPALDI,DORIANA RATTO GELIS FITTIPALDI,AVENIDA JOSE ARIANO RODRIGUES,549,JARDIM ARIANO,16400400,,
350600,77,SP,BAURU,7084471,IES,IES INSTITUTO DE ESPECIALIDADE EM SAUDE ODONTOLOGICALTDAEPP,,M,RUA ANTONIO XAVIER DE MENDONCA,58,,
350600,78,SP,BAURU,7084609,GUSTAVO HIDEKI KAWANAMI,GUSTAVO HIDEKI KAWANAMI,RUA CAPITAO JOAO ANTONIO,481,CENTRO,17015410,,
350600,79,SP,BAURU,7084455,ENFACE CLINICA DE PSICOLOGIA LTDA,ENFACE CLINICA DE PSICOLOGIA LTDA,M,ANTONIO ALVES,3575,VILA AEROPORTO,40693604,-738229
351050,80,SP,CARAGUATATUBA,7079753,AMBULATORIO DE SAUDE MENTAL CARAGUATATUBA,PREFEITURA MUNICIPAL DE CARAGUATATUBA,M,AVENIDA RIO DE JANEIRO,396,JARDIM PRIMAVERA,,
353730,81,SP,PENAPOLIS,5039444,PAULO FRANCISCO DE MESQUITA BARROS,PAULO FRANCISCO DE MESQUITA BARROS,RUA SANTA CLARA,481,CENTRO,16300047,,
354340,82,SP,RIBEIRAO PRETO,5039576,CLINICA MUNIR MIGUEL JACOB RIBEIRAO PRETO,CLINICA MUNIR MIGUEL JACOB EIRELI,,M,BERNARDINO DE CAMPOS,1609,,
355030,83,SP,SAO PAULO,5040035,CLINICA DE ESPEC CIRURGIA,CLINICA DE ESPECIALIDADES CIRURGICAS LTDA,,M,R MAESTRO CARDIM,377,40809563,-7392923
355030,84,SP,SAO PAULO,5040280,CENTRO ESP RADIOL ORTODONTIA ZAMBON,CENTRO ESP RADIOL ORTODONTIA ZAMBON SC LTDA,,M,RUA ANTONIO DA FONSECA,69,,
354990,85,SP,SAO JOSE DOS CAMPOS,5040310,3MR CLINICA DE PSICOLOGIA,3MR CLINICA DE PSICOLOGIA LTDA,,M,DOUTOR ADHEMAR DE BARROS,566,,
352220,86,SP,ITAPECERICA DA SERRA,5040426,CAPS AD DRA MARIA JOSE DE ALBUQUERQUE,SAUDE IS,M,RUA ARARAQUARA,208,JD EMBU MIRIM,40728207,-7373817
355100,87,SP,SAO VICENTE,3330060,CELSO DA SILVA NORONHA SAO VICENTE,CELSO DA SILVA NORONHA,RUA FREI GASPAR,739,CENTRO,11320120,,
355100,88,SP,SAO VICENTE,3330508,ROGERIA RITA DE CASSIA PALMA SAO VICENTE,ROGERIA RITA DE CASSIA PALMA,,M,RUA FREI GASPAR,739,,
352260,89,SP,ITAPIRA,3331040,ESMIR FESAL SABBAG,ESMIR FESAL SABBAG,RUA RUI BARBOSA,408,CENTRO,13974340,,
354980,90,SP,SAO JOSE DO RIO PRETO,3331660,MED CLINICA,MED CLINICA RIO PRETO LTDA,,M,RUA LUCAS MANGINI,443,,
354980,91,SP,SAO JOSE DO RIO PRETO,3331679,FISIOCENTER RICARDI,INSTITUTO DE FISIOTERAPIA RICARDI LTDA,,M,AV JUSCELINO KUBITSCHEK DE OLIVEIRA,1765,,
354850,92,SP,SANTOS,3332705,GILBERTO MARTINS GUIMARAES,GILBERTO MARTINS GUIMARAES,AVENIDA DOUTOR BERNARDINO DE CAMPOS,562,JOSE MENINO,11065001,40705135,-7390293
354670,93,SP,SANTA GERTRUDES,3334953,MARCELO CONS ISOLADO,MARCELO GARDENAL EPIPHANIO,AV 4,236,CENTRO,13510000,,
355030,94,SP,SAO PAULO,3335070,SUPERVISAO TECNICA DE SAUDE BUTANTA,PREFEITURA DO MUNICIPIO DE SAO PAULO,M,AV CORIFEU DE AZEVEDO MARQUES,3596,VILA BUTANTA,,
355030,95,SP,SAO PAULO,3335445,SUPERVISAO TECNICA DE SAUDE VILA PRUDENTE SAPOPEMBA,PREFEITURA DO MUNICIPIO DE SAO PAULO,M,PRACA CENTENARIO DE VILA PRUDENTE,108,VILA PRUDENTE,,
352710,96,SP,LINS,3337197,CLINICA DE ORTOPEDIA DR PAULO MEDRADO,CLINICA DE ORTOPEDIA E TRAUMATOLOGIA MEDRADO SC LTDA,,M,RUA RIO BRANCO,615,40580376,-73983315
353340,97,SP,NOVA ODESSA,3885305,GERALDO DIMAS GIANINI,GERALDO DIMAS GIANINI,RUA RIO BRANCO,281,CENTRO,13380003,,
351550,98,SP,FERNANDOPOLIS,7083297,PRISCILA DE ANDRADE FERNANDOPOLIS,PRISCILA DE ANDRADE PSICOLOGIA ME,,M,RUA EURIPEDES JOSE FERREIRA,652,40786785,-7380971
351550,99,SP,FERNANDOPOLIS,7083289,DROGARIA BRASILANDIA FERNANDOPOLIS,GILMAR MARCHIORI E CIA LTDA ME,,M,RUA GUILHERME BIM,489,4077006,-7390679
352570,100,SP,JOSE BONIFACIO,7084366,GARCIA GARCIA SERVICOS MEDICOS LTDA,GARCIA GARCIA SERVICOS MEDICOS LTDA,,M,AVENIDA CAMPOS SALES,1431,,
352590,101,SP,JUNDIAI,7084684,SANTA RITA CLINICA PEDIATRICA,SANTA RITA CLINICA PEDIATRICA LTDA,M,RUA RANGEL PESTANA,613,CENTRO,407925199,-739343547
355070,102,SP,SAO SEBASTIAO,7083378,ANDRE ABELLA MALUF,ANDRE ABELLA MALUF,AVENIDA PROFESSOR JOSE MACHADO ROSA,763,ITATINGA,11611139,40668247,-738873
355030,103,SP,SAO PAULO,3885429,CONS MEDICO LUIS MARCIO DOMINGUES ARANHA FILHO,LUIS MARCIO DOMINGUES ARANHA FILHO,AV ALFONSO BOVERO,1057,PERDIZES,5019011,,
355030,104,SP,SAO PAULO,3885437,CONS MEDICO GINEVIEW,GINEVIEW VIDEO ENDOSCOPIA GINECOLOGIA SS LTDA,M,RUA DR ALBUQUERQUE LINS,635,SANTA CECILIA,,
352440,105,SP,JACAREI,3923983,SOL SAUDE OCUPACAO E LAZER,SOL SERVICOS MEDICOS E DE SAUDE LTDA,M,RUA JOSE BONIFACIO,105,CENTRO,,
352440,106,SP,JACAREI,3923991,ORTOCLINICA EDSON LEMES DE SOUZA,ORTOCLINICA EDSON LEMES DE SOUZA,M,RUA PRUDENTE DE MORAES,52,CENTRO,,
352440,107,SP,JACAREI,3924009,PATRICIA MAURA FAGA,PATRICIA MAURA FAGA,RUA MINAS GERAIS,303,VILA PINHEIRO,12307060,407965332,-739759553
352440,108,SP,JACAREI,3924025,RODOLFO JORGE SOBRINHO,RODOLFO JORGE SOBRINHO,AV NOVE DE JULHO,520,CENTRO,12327682,,
352590,109,SP,JUNDIAI,3924041,CONSULTORIO ODONTOLOGICO SATURNINO APARECIDO RAMALHO,SATURNINO APARECIDO RAMALHO,RUA MARIO BORIN,500,CHACARA URBANA,13209030,40701214,-7380158
352590,110,SP,JUNDIAI,3924165,CONSULTORIO MEDICO CLAUDIO DE MATTOS,CLAUDIO DE MATTOS,RUA DO RETIRO,424,ANHANGABAU,13209000,,
354990,111,SP,SAO JOSE DOS CAMPOS,3924238,CARLOS EXPEDITO BENTO LEITAO,CARLOS EXPEDITO BENTO LEITAO,AVENIDA ADHEMAR DE BARROS,566,VILA ADYANNA,12245011,40608757,-74038086
354990,112,SP,SAO JOSE DOS CAMPOS,3924246,RC ALMEIDA CLINICA FOCUS DE RADIOLOGIA ODONTOLOGICA,RC ALMEIDA SERVICOS DE RADIOLOGIA LTDA,,M,RUA ENGENHEIRO PRUDENTE MEIRELLES DE MORAIS,787,,
352590,113,SP,JUNDIAI,3924254,CONSULTORIO MEDICO MARCO ANTONIO HERCULANO,MARCO ANTONIO HERCULANO,RUA DO RETIRO,424,ANHANGABAU,13209000,40707214,-74002754
352590,114,SP,JUNDIAI,3924297,LAB ANCHIETA UNIDADE ANCHIETA POSTO DE COLETA,LABORATORIO DE ANALISES CLINICAS ANCHIETA LTDA EPP,,M,RUA ANCHIETA,341,,
353130,115,SP,MONTE ALTO,3924386,SERVICOS MEDICOS MONTMED MONTE ALTO,SERVICOS MEDICOS MONTMED LTDA,,M,RUA JEREMIAS DE PAULA EDUARDO,2071,,
354340,116,SP,RIBEIRAO PRETO,3924394,RODRIGO SCANDIUZZI,RODRIGO SCANDIUZZI,RUA AMAZONAS,669,CAMPOS ELISEOS,14080270,,
354390,117,SP,RIO CLARO,3924408,LINGTAI,LINGTAI FISIOTERAPIA E CONSULTORIA S S LTDA,,M,RUA 7 CJ,203,4067538,-739082
352430,118,SP,JABOTICABAL,3924475,FABIO PETROUCIC,FABIO PETROUCIC,RUA BARAO DO RIO BRANCO,773,CENTRO,14870330,,
354340,119,SP,RIBEIRAO PRETO,3924599,KARINA FRANCELINO VENDRAMINI SCANDIUZZI,KARINA FRANCELINO VENDRAMINI SCANDIUZZI,RUA AMAZONAS,669,CAMPOS ELISEOS,14080270,,
350950,120,SP,CAMPINAS,3924610,LUCIANO FREIRE,LUCIANO FREIRE,AV ANDRADE NEVES,707,BOTAFOGO,13013161,407374593,-737410827
352710,121,SP,LINS,3924629,LESSANDRA DA SILVA TEIXEIRA,LESSANDRA DA SILVA TEIXEIRA,AV WILSON LIMA,410,PASETTO,16403340,,
352440,122,SP,JACAREI,3924637,ROSANA MARA FAGA,ROSANA MARA FAGA,RUA MINAS GERAIS,303,VILA PINHEIRO,12307060,,
352440,123,SP,JACAREI,3924769,SIDNEY BANDEIRA CARTAXO,SIDNEY BANDEIRA CARTAXO,RUA TREZE DE MAIO,51,CENTRO,12327220,,
354340,124,SP,RIBEIRAO PRETO,3924831,CLINICA FRANKLIN ALMEIDA,CLINICA FRANKLIN ALMEIDA LTDA,,M,GONCALVES DIAS,336,,
352710,125,SP,LINS,3924874,DANIEL FERRAZ NUNES DA SILVA,DANIEL FERRAZ NUNES DA SILVA,RUA DOM BOSCO,151,CENTRO,16400075,40636463,-739118
352710,126,SP,LINS,3924920,SIMONE APARECIDA BURANELLO,SIMONE APARECIDA BURANELLO,RUA PEDRO DE TOLEDO,151,CENTRO,16400075,,
355030,127,SP,SAO PAULO,3925056,CLINICA ODONTOLOGICA DEMARI E RODRIGUES,CLINICA ODONTOLOGICA DEMARI E RODRIGUES LTDA,,M,RUA SARGENTO PEDRO DOS SANTOS,43,40657413,-73983
355030,128,SP,SAO PAULO,3925196,CONS MEDICO SANDRO LUIZ PADIAL,SANDRO LUIZ PADIAL,RUA PADRE ESTEVAO PERNET,1059,TATUAPE,3315000,,
355030,129,SP,SAO PAULO,3925226,CONS MEDICO HAROLDO MEHLBERG,HAROLDO MEHLBERG,AV VEREADOR JOSE DINIZ,492,SANTO AMARO,4604000,,
355030,130,SP,SAO PAULO,3925250,CONS MEDICO VANDEBILT SERV MEDICOS,VANDEBILT SERVICOS MEDICOS LTDA,M,AL MINISTRO ROCHA AZEVEDO,882,JARDIM PAULISTA,,
355030,131,SP,SAO PAULO,3925269,CONS ODONTO EDGARD LAZARO DE SOUZA JR,EDGARD LAZARO DE SOUZA JUNIOR,R ANTONIO DAS CHAGAS,736,CHACARA SANTO ANTONI,4714001,,
355030,132,SP,SAO PAULO,3925323,CONS MEDICO ANA MARLENE GORZ REINHARD,CONSULTORIO ANA MARLENE GORZ REINHARD,RUA CINCINATO BRAGA,102,BELA VISTA,1333010,,
355030,133,SP,SAO PAULO,3925331,CLINICA MEDICA SALUTE,SALUTE CLINICA MEDICA LTDA,,M,RUA AUSONIA,519,,
355030,134,SP,SAO PAULO,3925390,CONS MEDICO UMI,UMI UNIDADE MATERNO INFANTIL LTDA,,M,RUA DA FIGUEIRA,831,,
354980,135,SP,SAO JOSE DO RIO PRETO,3925676,CIOM FONOAUDIOLOGIC,CELSO JOSE BENICHIO,RUA ELIAS ABISSANRA,250,JARDIM BORDON,15055420,,
350850,136,SP,CACAPAVA,3925838,CLINICA OFTALMOLOGICA RENATA NAPPO LTDA,CLINICA OFTALMOLOGICA RENATA NAPPO LTDA,,M,COMENDADOR JOAO LOPES,560,40644142,-73957924
352710,137,SP,LINS,3925870,CLINICA CORPO E ESSENCIA,CLINICA CORPO E ESSENCIA SOCIEDADE SIMPLES LTDA,,M,AV JOSE ARIANO RODRIGUES,154,,
351110,138,SP,CATANDUVA,3926400,MANUEL CASTRO LAHOZ CATANDUVA,MANUEL CASTRO LAHOZ,RUA BELEM,117,CENTRO,15801240,,
354340,139,SP,RIBEIRAO PRETO,3926435,LETICIA ZOEGA MACHADO,LETICIA ZOEGA MACHADO,RUA GALILEU GALILEI,1685,JARDIM IRAJA,14020620,40703403,-73917786
352920,140,SP,MARTINOPOLIS,3926605,CONSULTORIO MEDICO DR MAXIMILIANO GUZMAN ARISPE,MAXIMILIANO GUZMAN ARISPE,RUA JOSE HENRIQUE MELLO,284,CENTRO,19500000,40722343,-7377717
